Calendar_Year,Blind_Model,n,claims
2005,K.78,6132,41
2005,Q.22,35141,270
2005,AR.41,18719,174
2006,AR.41,18868,196
2005,D.20,4573,27
2006,D.20,5446,23
2006,AJ.129,50803,342
2006,AQ.17,44018,263
2005,AQ.17,42684,278
2005,BW.3,37903,215
2006,BW.3,37752,195
2005,BW.167,19098,136
2006,BW.167,23639,158
2005,Y.9,47236,383
2006,Y.9,44970,372
2005,BH.29,7850,85
2006,BH.29,7945,77
2005,BW.49,13909,75
2005,BP.23,4862,41
2005,K.3,32785,249
2005,K.2,21362,174
2006,K.2,24834,221
2005,K.68,1481,10
2006,N.8,6036,30
2005,N.8,4215,34
2006,P.35,5133,39
2005,P.35,4257,31
2005,W.16,71462,541
2006,W.16,78842,523
2006,AI.23,2013,14
2005,AJ.32,1820,17
2006,BO.44,18379,175
2005,AI.23,1544,15
2005,BO.44,18135,165
2005,AF.8,2377,9
2006,AL.31,1696,11
2005,AF.21,1037,4
2005,AL.31,1551,10
2005,P.33,5453,44
2005,K.13,14552,146
2006,X.38,49744,421
2005,X.38,47898,416
2005,AU.11,64024,587
2006,AU.11,69421,601
2005,AU.68,2518,18
2006,AU.68,4316,28
2005,K.7,180325,1642
2006,K.7,201885,1723
2005,R.30,18658,125
2005,AJ.58,53489,452
2006,AJ.58,54049,439
2005,BW.156,22319,166
2006,BW.156,23113,158
2005,Y.29,34217,242
2006,Y.29,45350,315
2006,BH.11,4550,32
2005,BH.11,4176,33
2006,AO.1,39637,356
2006,Q.22,36260,262
2005,BW.176,12350,94
2005,AJ.40,41068,412
2005,AU.14,86928,802
2005,X.45,93766,750
2005,BW.115,33029,174
2006,Q.3,14651,139
2005,Q.3,15851,130
2006,AJ.40,44700,371
2005,X.24,31852,303
2006,X.24,38517,335
2005,BO.38,59177,375
2006,BO.38,66029,400
2005,AJ.15,2241,7
2006,AJ.15,2308,9
2005,K.65,31601,232
2006,AJ.59,10648,88
2005,AJ.59,6931,52
2006,K.65,40685,230
2005,BH.18,30876,331
2006,BH.18,32328,323
2005,L.29,34173,225
2006,L.29,38823,296
2005,P.23,6304,66
2006,P.23,6412,45
2005,AJ.122,33486,267
2005,BT.63,11389,84
2005,BW.112,14746,124
2005,AY.23,2101,14
2005,AU.34,4641,34
2005,L.49,17061,143
2005,O.19,4791,48
2005,R.20,11091,78
2005,AJ.5,4440,28
2005,AU.58,46748,463
2005,BT.11,2420,15
2005,R.23,12836,74
2005,AH.7,8269,75
2005,BH.7,5145,43
2005,K.62,7117,47
2005,X.3,18414,160
2005,BO.53,9424,70
2005,BW.95,36034,242
2005,BP.18,2152,16
2005,W.28,40024,261
2005,Y.34,43082,361
2005,AO.1,36994,311
2005,AR.17,1864,10
2005,AX.2,2801,25
2005,AJ.48,19292,158
2005,AU.25,5224,44
2005,W.20,8552,76
2005,I.3,1658,6
2005,K.74,6953,55
2005,BO.65,1398,10
2005,BO.71,1414,8
2005,AL.42,5131,28
2005,Y.42,23639,154
2005,BO.3,4400,19
2005,K.52,3758,30
2005,W.4,32720,202
2006,X.45,98825,792
2005,AJ.42,7954,64
2006,AJ.42,8960,73
2006,AJ.122,34723,275
2006,AJ.48,24357,195
2005,BW.125,1908,10
2006,BO.36,29773,266
2005,D.25,31343,183
2005,AI.20,5811,50
2005,AH.119,2571,13
2006,AH.119,3472,27
2005,AH.100,1344,10
2006,AH.100,2778,20
2005,AU.54,20359,156
2006,N.7,4610,37
2005,N.7,4606,35
2005,K.31,3898,30
2006,AL.49,4422,27
2005,AL.49,3520,15
2006,W.28,43566,249
2006,BB.12,2144,12
2006,K.3,36987,257
2006,I.3,1594,8
2006,X.3,17709,130
2006,Y.34,49877,373
2005,K.92,3119,18
2006,AH.137,464,4
2005,AH.137,303,1
2005,Y.4,20392,138
2006,Y.4,19909,129
2005,BH.20,7012,81
2005,I.29,3502,38
2005,J.4,1879,12
2005,Y.10,41851,389
2005,AI.2,4098,17
2005,BO.52,21247,207
2005,AJ.129,50021,351
2005,BF.10,4143,34
2005,AJ.76,7844,53
2005,AJ.54,21705,87
2005,BW.5,1715,12
2005,AJ.38,11524,117
2005,AO.28,4538,39
2005,BU.5,6956,55
2005,AR.16,6101,48
2005,L.28,12361,81
2005,X.9,21784,177
2005,K.34,10739,68
2005,AU.77,12356,116
2005,BF.36,33483,343
2005,X.12,11260,76
2005,AJ.64,3667,28
2005,D.1,1168,17
2005,D.7,104,0
2005,BW.48,7131,44
2005,AO.7,52499,512
2006,AJ.14,18321,97
2006,X.52,6784,45
2006,AJ.52,53660,347
2005,BN.3,3556,36
2006,BN.3,4276,33
2006,AU.8,1727,9
2005,P.10,596,3
2005,BP.17,4148,38
2006,BP.17,4364,48
2005,BW.131,2180,17
2006,BW.131,2510,11
2006,D.25,31689,221
2005,I.14,4140,26
2006,M.16,45169,339
2006,AU.14,101774,885
2006,AJ.76,8070,54
2006,AJ.32,1829,11
2006,P.33,5642,44
2006,R.30,21360,140
2006,AU.77,14643,117
2006,AO.7,57247,543
2006,O.23,6115,43
2006,I.14,4197,29
2006,AJ.38,11709,116
2005,AJ.52,53592,344
2006,X.40,3768,12
2005,Q.43,14757,107
2005,BO.35,11489,116
2005,M.16,45809,365
2005,K.86,8993,78
2005,BO.36,26800,228
2005,K.4,1200,7
2005,AH.68,3341,36
2005,BW.168,10678,70
2005,R.15,2956,25
2005,BU.1,3071,13
2005,L.26,21742,165
2005,BT.43,14022,81
2005,AU.27,9276,92
2005,AC.1,945,8
2005,BW.126,7682,47
2005,BW.57,1304,4
2005,AH.164,8195,59
2005,BW.107,5027,26
2005,AJ.112,3232,17
2005,K.75,3732,24
2005,AJ.49,17387,113
2005,AL.24,2965,23
2005,BD.3,3168,15
2005,J.7,2774,10
2005,W.3,8341,71
2005,X.49,9947,55
2005,AH.75,4343,25
2005,BT.16,240,1
2005,BT.69,6283,21
2005,AN.2,8948,86
2005,BW.42,6469,57
2005,AJ.77,16062,102
2005,AL.88,1780,8
2005,AX.4,13920,126
2005,Q.40,5685,42
2006,K.62,8483,49
2005,AL.14,11997,69
2006,BO.52,22742,188
2006,AQ.20,7134,49
2005,BY.10,554,3
2005,AQ.20,6545,37
2006,AR.45,2554,18
2005,BV.3,5144,34
2005,BF.42,4240,30
2006,BW.159,3240,15
2005,BW.159,3166,13
2005,Y.32,32482,273
2006,Y.32,31333,221
2006,J.4,1942,18
2005,AR.1,4772,28
2006,AR.1,8432,63
2006,BW.176,15566,109
2006,R.24,2872,16
2006,Y.10,41812,368
2006,BW.112,17747,126
2005,K.80,11249,107
2006,K.80,12815,119
2005,AH.168,6368,56
2006,AH.168,8120,48
2006,BW.115,37717,228
2005,BW.166,4534,32
2006,BW.166,4466,39
2006,D.1,1371,11
2005,N.25,3136,16
2006,N.25,3181,19
2006,BW.95,35799,227
2005,K.60,12077,99
2005,O.23,3695,20
2005,W.18,60,0
2005,AH.107,1933,14
2005,BO.15,5462,24
2005,I.12,292,2
